Date,DHI,LEN,Signal,Lagged Signal,Spread Return,Strategy Return,Cumulative Return
2022-01-05 00:00:00-05:00,-0.025385690999296887,-0.015491616749593295,0,0.0,-0.009894074249703592,-0.0,1.0
2022-01-06 00:00:00-05:00,-0.015349619243406389,-0.025037877387819877,0,0.0,0.009688258144413488,0.0,1.0
2022-01-07 00:00:00-05:00,-0.0636588600465063,-0.048535748776443746,1,0.0,-0.01512311127006255,-0.0,1.0
2022-01-10 00:00:00-05:00,0.005027397234728268,0.010435807221771072,0,1.0,-0.005408409987042804,-0.005408409987042804,0.9945915900129572
2022-01-11 00:00:00-05:00,0.03096160883911821,0.03494884175861143,-1,0.0,-0.003987232919493221,-0.0,0.9945915900129572
2022-01-12 00:00:00-05:00,0.007064850740272748,0.001947496641484954,0,-1.0,0.005117354098787793,-0.005117354098787793,0.9895019126631845
2022-01-13 00:00:00-05:00,0.0033134508897483027,0.005543192906205109,0,0.0,-0.0022297420164568062,-0.0,0.9895019126631845
2022-01-14 00:00:00-05:00,-0.012406352857152612,-0.0035072481602713393,0,0.0,-0.008899104696881273,-0.0,0.9895019126631845
2022-01-18 00:00:00-05:00,-0.05325542522160678,-0.06552513948700951,1,0.0,0.012269714265402736,0.0,0.9895019126631845
2022-01-19 00:00:00-05:00,-0.033635860889512974,-0.0448197244699514,1,1.0,0.011183863580438429,0.011183863580438429,1.0005683670669925
2022-01-20 00:00:00-05:00,-0.02205028621872029,-0.012989320148145186,0,1.0,-0.009060966070575105,-0.009060966070575105,0.9915022510417076
2022-01-21 00:00:00-05:00,-0.005560718019650669,-0.0031427315923477335,0,0.0,-0.0024179864273029357,-0.0,0.9915022510417076
2022-01-24 00:00:00-05:00,0.03598934966499063,0.048135544754080994,-1,0.0,-0.012146195089090366,-0.0,0.9915022510417076
2022-01-25 00:00:00-05:00,-0.018168221382233198,-0.02081307291629724,0,-1.0,0.002644851534064043,-0.002644851534064043,0.988879874792012
2022-01-26 00:00:00-05:00,-0.04107809838407294,-0.05024602593464106,1,0.0,0.009167927550568118,0.0,0.988879874792012
2022-01-27 00:00:00-05:00,-0.021547060437556043,-0.015361566218126243,0,1.0,-0.0061854942194298,-0.0061854942194298,0.9827631640427755
2022-01-28 00:00:00-05:00,0.02387393754965065,0.018255988590877344,0,0.0,0.005617948958773305,0.0,0.9827631640427755
2022-01-31 00:00:00-05:00,0.03617675840320299,0.028387872202707814,-1,0.0,0.007788886200495174,0.0,0.9827631640427755
2022-02-01 00:00:00-05:00,0.0025744628687752523,-0.004379489323390764,0,-1.0,0.006953952192166017,-0.006953952192166017,0.9759290759838003
2022-02-02 00:00:00-05:00,0.015529861904877826,0.01894364331984935,0,0.0,-0.0034137814149715253,-0.0,0.9759290759838003
2022-02-03 00:00:00-05:00,-0.029829276473926712,-0.027971713033746633,0,0.0,-0.0018575634401800795,-0.0,0.9759290759838003
2022-02-04 00:00:00-05:00,-0.048325744252580155,-0.04894835281118548,1,0.0,0.0006226085586053254,0.0,0.9759290759838003
2022-02-07 00:00:00-05:00,0.015588548569949592,0.018977060694487596,0,1.0,-0.0033885121245380047,-0.0033885121245380047,0.9726221284771399
2022-02-08 00:00:00-05:00,0.017539401893743638,0.018837165614723855,0,0.0,-0.0012977637209802169,-0.0,0.9726221284771399
2022-02-09 00:00:00-05:00,0.021640934232856377,0.026931828852659732,0,0.0,-0.005290894619803355,-0.0,0.9726221284771399
2022-02-10 00:00:00-05:00,-0.0428193693406352,-0.04631233558822744,1,0.0,0.0034929662475922454,0.0,0.9726221284771399
2022-02-11 00:00:00-05:00,-0.009334333843173816,-0.004795123143925096,0,1.0,-0.00453921069924872,-0.00453921069924872,0.9682071917052305
2022-02-14 00:00:00-05:00,-0.01543186442296173,-0.010432255839725485,0,0.0,-0.004999608583236245,-0.0,0.9682071917052305
2022-02-15 00:00:00-05:00,0.022175532042926736,0.014139635306875328,0,0.0,0.008035896736051408,0.0,0.9682071917052305
2022-02-16 00:00:00-05:00,0.008417444225746045,0.0015225100713938623,0,0.0,0.006894934154352182,0.0,0.9682071917052305
2022-02-17 00:00:00-05:00,-0.030350225655340443,-0.02966861358981723,0,0.0,-0.0006816120655232134,-0.0,0.9682071917052305
2022-02-18 00:00:00-05:00,0.008303775976932902,0.0011188668713472368,0,0.0,0.007184909105585665,0.0,0.9682071917052305
2022-02-22 00:00:00-05:00,-0.03711367530434871,-0.03806288907073138,1,0.0,0.00094921376638267,0.0,0.9682071917052305
2022-02-23 00:00:00-05:00,-0.028383979684993364,-0.044657751097317906,1,1.0,0.016273771412324542,0.016273771412324542,0.98396357422281
2022-02-24 00:00:00-05:00,0.05186221153821752,0.06364232511379966,-1,1.0,-0.011780113575582146,-0.011780113575582146,0.9723723715642295
2022-02-25 00:00:00-05:00,0.044087450273849124,0.03461179075127339,-1,-1.0,0.009475659522575737,-0.009475659522575737,0.9631585020421273
2022-02-28 00:00:00-05:00,-0.007233723535072437,-0.01051432206182726,0,-1.0,0.003280598526754823,-0.003280598526754823,0.9599987656792965
2022-03-01 00:00:00-05:00,0.005022248416410153,0.005104871425723051,0,0.0,-8.26230093128981e-05,-0.0,0.9599987656792965
2022-03-02 00:00:00-05:00,0.020184202995831388,0.018751672452871383,0,0.0,0.0014325305429600046,0.0,0.9599987656792965
2022-03-03 00:00:00-05:00,-0.01229238320788019,-0.023745205325708216,0,0.0,0.011452822117828027,0.0,0.9599987656792965
2022-03-04 00:00:00-05:00,-0.01291406820436123,-0.00837858002581443,0,0.0,-0.0045354881785468,-0.0,0.9599987656792965
2022-03-07 00:00:00-05:00,-0.06419527858280809,-0.06823990229239889,1,0.0,0.0040446237095908,0.0,0.9599987656792965
2022-03-08 00:00:00-05:00,0.0033656238234004107,0.0058679028627160006,0,1.0,-0.00250227903931559,-0.00250227903931559,0.9575965808901684
2022-03-09 00:00:00-05:00,0.028098307594300945,0.04380268024611076,-1,0.0,-0.015704372651809816,-0.0,0.9575965808901684
